TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction
nhaR	+	nhaAR	+
mioC	-	asnC-mioC	-
mioC	-	asnC-mioC-mnmG	-
araBAD	-	polB	-
groSL	+	groL	+
argQ	-	serV-argVYZQ	-
rsmE-gshB1	+	endA	+
rsmE-gshB2	+	endA	+
pdeG	+	ymgF1	+
ygjI1	+	ebgAC	+
ygjI2	+	ebgAC	+
yghA1	+	yqhA2	-
abrB	-	nei	+
abrB	-	ybgIJKL-nei	+
dmsABC	+	dmsC	+
sroA	-	sgrR-sroA-thiBPQ	-
aroKB-damX-dam-rpe-gph-trpS	-	damX-dam-rpe-gph-trpS	-
aroKB-damX-dam-rpe-gph-trpS	-	dam-rpe-gph-trpS	-
aroKB-damX-dam-rpe-gph-trpS	-	rpe-gph-trpS	-
aroKB-damX-dam-rpe-gph-trpS	-	trpS	-
trkA	+	rsmB1	+
glnAZ	-	glnAZLG	-
glnAZ	-	glnLG	-
infB	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-
infB	-	rimP-nusA-infB	-
infB	-	metY-yhbC-nusA-infB	-
infB	-	nusA-infB	-
znuA	-	yebA1	-
znuA	-	yebA2	-
znuA	-	yebA3	-
znuA	-	znuCB	+
yfeR1	-	yfeH2	+
ftsAZ	+	ftsZ	+
ftsAZ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsAZ	+	ftsQ	+
ftsAZ	+	ftsQAZ	+
ftsAZ	+	stfZ	-
ftsAZ	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsAZ	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
cspG1	+	cspH5	-
cspG1	+	cspH7	-
gapA	+	gapA-yeaD	+
ybjS1	-	ybjQ-amiD	+
ybjS1	-	poxB-ltaE-ybjT1	-
ybjS1	-	poxB-ltaE-ybjT2	-
ybjS1	-	ltaE-ybjT	-
mhpABCDFE	+	mhpR-lacI	-
lptAB	+	kdsC-lptCAB	+
lptAB	+	lptB-rpoN-hpf-ptsN-yhbJ	+
lptAB	+	rpoN-hpf-ptsN-yhbJ-npr	+
lptAB	+	yrbG-kdsDC-lptCAB	+
oppA	+	oppABCDF	+
oppA	+	oppBCDF	+
thrS-infC-rpmI-rplT-pheMST-ihfA	-	rplT	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	rpmI-rplT	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	pheM	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	rplT-pheM	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	thrS-infC	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	pheMST-ihfA	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	infC-rpmI-rplT	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	ihfA	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	infC	-
mlc-ynfK	-	mlc	-
mlc-ynfK	-	ynfK1	-
mlc-ynfK	-	ynfK2	-
mlc-ynfK	-	clcB	+
ulaG	-	ulaR1	-
yjhA	-	nanCMS	-
yjhA	-	nanCM	-
pta	+	ackA-pta1	+
pta	+	ackA	+
yjaH1	+	hupA	+
ybjQ-amiD	+	ybjP	-
paoABCD	-	yagP	-
prfB-lysS	-	dsbC-recJ-prfB	-
yqaE	-	yqaE-kbp	-
yafNOP	+	dinB-yafNOP	+
citR-ybdNM	-	ybdN	-
citR-ybdNM	-	ybdO	-
citR-ybdNM	-	ybdM1	-
hokB	-	mokB1	-
yccE	+	cbpA-cbpM	-
fucAO	-	fucO	-
ymgA-ariR	+	ycgZ-ymgA-ariR-ymgC	+
ymgA-ariR	+	ariR	+
secG-leuU	-	leuU	-
secG-leuU	-	secG1	-
secG-leuU	-	secG2	-
gntK	-	gntU1	-
gntK	-	gntKU	-
gntK	-	gntRKU	-
argX-hisR-leuT-proM	+	aslB	+
ivbL	-	ivbL-ilvBN	-
ivbL	-	ivbL-ilvBN-uhpABC1	-
pstS	-	pstSCA	-
pstS	-	pstSCAB-phoU	-
pstS	-	pstCAB-phoU	-
pspBCDE	+	pspABCDE	+
pspBCDE	+	pspE	+
mnmA	-	hflD-purB	-
yfgA	-	ispG-sroE1	-
yfgA	-	ispG-sroE2	-
yfgA	-	ispG-sroE3	-
gntR	-	gntKU	-
gntR	-	gntRKU	-
cvpA-purF-ubiX	-	ubiX	-
nfo	+	yeiI1	+
yfaE1	+	nrdAB-yfaE	+
yfaE2	+	nrdAB-yfaE	+
rnpB	-	garPLRK-rnpB	-
degQ	+	degQS	+
yjbFGH	+	yjbEFGH	+
yaiX	-	yaiO1	-
yaiX	-	yaiO2	-
yaiX	-	yaiO3	-
yaiX	-	insC1CD1D1	+
yaiX	-	yaiP1	-
dkgAp // dkgA	+	yqhD-dkgA	+
gatR_2	-	insE5EF5F5	+
yceI1	-	yceJI	-
ecpA	-	ecpBCDE	-
ygiD2	-	zupT	+
yecM-cutC1	-	micL	-
yecM-cutC2	-	micL	-
queF	+	syd1	-
ybaV1	+	ppiD	+
yhbQ1	+	ubiT-yhbS	-
rpsLG-fusA-tufA	-	tufA	-
rpsLG-fusA-tufA	-	fusA-tufA	-
eno	-	pyrG-eno	-
pstSCA	-	pstSCAB-phoU	-
pstSCA	-	pstB-phoU	-
pstSCA	-	pstS	-
pstSCA	-	pstCAB-phoU	-
rrsG-gltW-rrlG-rrfG	-	rrfG	-
dsbC-recJ-prfB	-	xerD-dsbC-recJ	-
