TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction	Concatenated
nhaR	+	nhaAR	+	nhaRnhaAR
mioC	-	asnC-mioC	-	mioCasnC-mioC
mioC	-	asnC-mioC-mnmG	-	mioCasnC-mioC-mnmG
araBAD	-	polB	-	araBADpolB
groSL	+	groL	+	groSLgroL
argQ	-	serV-argVYZQ	-	argQserV-argVYZQ
rsmE-gshB1	+	endA	+	rsmE-gshB1endA
pdeG	+	ymgF1	+	pdeGymgF1
ygjI1	+	ebgAC	+	ygjI1ebgAC
yghA1	+	yqhA2	-	yghA1yqhA2
abrB	-	nei	+	abrBnei
abrB	-	ybgIJKL-nei	+	abrBybgIJKL-nei
dmsABC	+	dmsC	+	dmsABCdmsC
sroA	-	sgrR-sroA-thiBPQ	-	sroAsgrR-sroA-thiBPQ
aroKB-damX-dam-rpe-gph-trpS	-	damX-dam-rpe-gph-trpS	-	aroKB-damX-dam-rpe-gph-trpSdamX-dam-rpe-gph-trpS
aroKB-damX-dam-rpe-gph-trpS	-	dam-rpe-gph-trpS	-	aroKB-damX-dam-rpe-gph-trpSdam-rpe-gph-trpS
aroKB-damX-dam-rpe-gph-trpS	-	rpe-gph-trpS	-	aroKB-damX-dam-rpe-gph-trpSrpe-gph-trpS
aroKB-damX-dam-rpe-gph-trpS	-	trpS	-	aroKB-damX-dam-rpe-gph-trpStrpS
trkA	+	rsmB1	+	trkArsmB1
glnAZ	-	glnAZLG	-	glnAZglnAZLG
glnAZ	-	glnLG	-	glnAZglnLG
infB	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	infBmetY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp
infB	-	rimP-nusA-infB	-	infBrimP-nusA-infB
infB	-	metY-yhbC-nusA-infB	-	infBmetY-yhbC-nusA-infB
infB	-	nusA-infB	-	infBnusA-infB
znuA	-	yebA1	-	znuAyebA1
znuA	-	znuCB	+	znuAznuCB
yfeR1	-	yfeH2	+	yfeR1yfeH2
ftsAZ	+	ftsZ	+	ftsAZftsZ
ftsAZ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsAZftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
ftsAZ	+	ftsQAZ	+	ftsAZftsQAZ
ftsAZ	+	stfZ	-	ftsAZstfZ
ftsAZ	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsAZrsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
ftsAZ	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsAZmraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
cspG1	+	cspH5	-	cspG1cspH5
gapA	+	gapA-yeaD	+	gapAgapA-yeaD
ybjS1	-	ybjQ-amiD	+	ybjS1ybjQ-amiD
ybjS1	-	poxB-ltaE-ybjT1	-	ybjS1poxB-ltaE-ybjT1
ybjS1	-	ltaE-ybjT	-	ybjS1ltaE-ybjT
mhpABCDFE	+	mhpR-lacI	-	mhpABCDFEmhpR-lacI
lptAB	+	kdsC-lptCAB	+	lptABkdsC-lptCAB
lptAB	+	lptB-rpoN-hpf-ptsN-yhbJ	+	lptABlptB-rpoN-hpf-ptsN-yhbJ
lptAB	+	rpoN-hpf-ptsN-yhbJ-npr	+	lptABrpoN-hpf-ptsN-yhbJ-npr
lptAB	+	yrbG-kdsDC-lptCAB	+	lptAByrbG-kdsDC-lptCAB
oppA	+	oppABCDF	+	oppAoppABCDF
oppA	+	oppBCDF	+	oppAoppBCDF
thrS-infC-rpmI-rplT-pheMST-ihfA	-	rplT	-	thrS-infC-rpmI-rplT-pheMST-ihfArplT
thrS-infC-rpmI-rplT-pheMST-ihfA	-	rpmI-rplT	-	thrS-infC-rpmI-rplT-pheMST-ihfArpmI-rplT
thrS-infC-rpmI-rplT-pheMST-ihfA	-	pheM	-	thrS-infC-rpmI-rplT-pheMST-ihfApheM
thrS-infC-rpmI-rplT-pheMST-ihfA	-	rplT-pheM	-	thrS-infC-rpmI-rplT-pheMST-ihfArplT-pheM
thrS-infC-rpmI-rplT-pheMST-ihfA	-	thrS-infC	-	thrS-infC-rpmI-rplT-pheMST-ihfAthrS-infC
