Name	Direction	TU_start	TU_end	Genes
C0293_longest	+	1196711	1196782	C0293
CsiR_longest	+	2795674	2796336	glaR
aaeR_longest	+	3389496	3390449	aaeR
aaeXAB_longest	-	3386221	3389430	aaeX,aaeA,aaeB
aas-lplT_longest	-	2972669	2976014	aas,lplT
aat_added_promoter_longest	-	926728	927460.0	aat
abgABT-ogt_longest	-	1399721	1404565	abgA,abgB,abgT,ogt
abgR_longest	+	1404741	1405693	abgR
abpAB_longest	-	2761351	2765153	abpA,abpB
abrB_longest	-	746723	747769	abrB
accA_longest	+	208326	209580	accA
accBC_longest	+	3405140	3407302	accB,accC
accD_longest	-	2432963	2434015	accD
aceBAK_longest	+	4215402	4220332	aceB,aceA,aceK
aceEF_longest	+	122969	127619	aceF,aceE
aceK_longest	+	4218566	4220332	aceK
ackA_longest	+	2413459	2414672	ackA
ackA-pta_added_promoter_longest	+	2413459.0	2416891	pta,ackA
acnA_longest	+	1335424	1338506	ymiC,acnA
acnB_longest	+	131519	134272	acnB
acpH_longest	-	424337	424918	acpH
acpP_longest	+	1151575	1151887	acpP
acpP-fabF_longest	+	1151575	1153180	fabF,acpP
acpT_longest	+	3612969	3613556	acpT
acrAB_longest	-	481254	485698	acrA,acrB
acrB_longest	-	481254	484685	acrB
acrD_longest	+	2587475	2590708	acrD
acrEF_longest	+	3413702	3418177	acrE,acrF
acrR_longest	+	485699	486408	acrR
acrZ_longest	+	794751	794922	acrZ
acs-yjcHG_longest	-	4283253	4287595	actP,yjcH,acs
actP_longest	-	4283253	4284935	actP
ada-alkB_longest	-	2308691	2310427	alkB,ada
add_longest	+	1702202	1703234	add
ade_longest	+	3843910	3845730	adeD
adeQ_longest	-	3842455	3843789	adeQ
adhE_longest	-	1295446	1298413	adhE
adhP_added_promoter_longest	-	1552828	1553994.0	adhP
adiA_longest	-	4338210	4340556	adiA
adiC_longest	-	4335694	4337202	adiC
adiY_longest	-	4337168	4338042	adiY
adk_longest	+	497139	497819	adk
adrA_longest	+	403687	404818	dgcC
aegA_longest	-	2583546	2585525	aegA
aer_longest	-	3217556	3219120	aer
aes_longest	-	498945	500051	aes
agaR_longest	-	3277856	3278703	agaR
agaSYBCDI_longest	+	3281889	3287025	agaI,agaD,agaC,agaB,kbaY,agaS
agp_longest	+	1065559	1066857	agp
agrA_longest	+	3648063	3648144	agrA
agrB_longest	+	3648294	3648375	agrB
ahpCF_longest	+	638693	641318	ahpF,ahpC
ahpF_longest	+	639002	641318	ahpF
aidB_longest	+	4414247	4415900	aidB
ais_added_promoter_longest	-	2365018	2365756.0	ais
alaA_longest	+	2407408	2408778	alaA
alaA-yfbR_added_promoter_longest	+	2407414.0	2409461	yfbR,alaA
alaC_longest	-	2497057	2498399	alaC
alaE_longest	+	2799084	2799613	alaE
alaS_longest	-	2819381	2822090	alaS
alaWX_longest	-	2518002	2518253	alaX,alaW
aldA_longest	+	1488190	1489671	aldA
aldB_longest	-	3754906	3756535	aldB
alkA_longest	-	2146692	2147559	alkA
alkB_longest	-	2308691	2309445	alkB
allA_longest	+	532390	532933	allA
allB_longest	+	538944	540508	allB
allDC-ylbA_longest	-	543261	546411	allE,allC,allD
allR_longest	+	532981	533826	allR
allS_longest	-	531295	532300	allS
alpA_longest	+	2758644	2758856	alpA
alr_longest	+	4265589	4266861	alr
alsBACE_longest	-	4307783	4312072	alsE,alsC,alsA,alsB
alsK_added_promoter_longest	-	4306870	4307995.0	alsK
alsRBACE_longest	-	4307783	4313137	alsE,alsC,alsA,alsB,alsR
alx_added_promoter_longest	+	3238371.0	3239545	alx
ameF_longest	+	2911051	2911450	ameF
amiA-hemF_longest	+	2552241	2554124	hemF,amiA
amiC_added_promoter_longest	-	2947757	2949189.0	amiC
amn_longest	+	2055031	2056515	amn
ampC_longest	-	4377783	4379003	ampC
ampDE_longest	+	118703	120135	ampD,ampE
ampG_added_promoter_longest	-	452070	453684.0	ampG
ampH_longest	-	395130	396363	ampH
amyA_longest	+	2006115	2007674	amyA
anmK_added_promoter_longest	-	1718493	1719673.0	anmK
ansA-pncA_longest	+	1850860	1852528	pncA,ansA
ansB_longest	-	3099654	3100790	ansB
ansP_longest	-	1524481	1526020	ansP
apaGH_longest	-	50380	52034	apaH,apaG
aphA_longest	+	4269414	4270127	aphA
appA_longest	+	1040599	1041915	appA
appCBA-yccB_longest	+	1037710	1041915	appX,appC,appB,appA
appY_longest	+	583567	584430	appY
apt_longest	+	491310	491963	apt
aqpZ_added_promoter_longest	-	915352	916133.0	aqpZ
araBAD_longest	-	65800	70075	araD,araA,araB
araC_longest	+	70223	71265	araC
araE_longest	-	2980764	2982208	araE
araE-ygeA_longest	-	2979943	2982208	ygeA,araE
araFGH_longest	-	1982554	1986238	araH,araG,araF
araJ_longest	-	411297	412529	araJ
arcA_longest	-	4639539	4640801	arcA
arcB_longest	-	3350689	3353049	arcB
arcZ_longest	+	3350577	3350697	arcZ
arfA_longest	-	3438431	3438673	arfA
argA_longest	+	2949156	2950573	argA
argCBH_longest	+	4154885	4158223	argC,argB,argH
argD_longest	-	3488960	3490221	argD
argE_longest	-	4153696	4155078	argE
argF_longest	-	289301	290340	argF
argF-xynR_added_promoter_longest	-	288404	290340.0	xynR,argF
argG_longest	+	3318562	3319980	argG
argH_longest	+	4156850	4158223	argH
argI_longest	-	4477307	4478344	argI
argO_longest	-	3068173	3068836	argO
argP_longest	+	3059730	3060680	argP
argQ_longest	-	2817784	2817890	argQ
argR_longest	+	3384602	3385173	argR
argS_longest	+	1960001	1961843	argS
argT-hisJQMP_longest	-	2423736	2427849	hisP,hisM,hisQ,hisJ,argT
argU_longest	+	564703	564799	argU
argW_longest	+	2466308	2466383	argW
