Name	Direction	TU_start	TU_end	Genes
ftsZ_1	+	104636	106456	ftsZ
yddAB	-	1575247	1579342	yddA,yddB
yqeIJ	+	2988502	2989786	yqeJ,yqeI
ydfV	+	1645897	1646202	ydfV
mipA	-	1865726	1866506	mipA
yfbM	+	2386934	2387437	yfbM
ftsZ_2	+	104693	106456	ftsZ
rpmH-rnpA_1	+	3884111	3884852	rpmH,rnpA
ydhP	-	1736121	1737290	ydhP
argQ	-	2817784	2817890	argQ
ydfABC-dicFB-ydfD	+	1648508	1649985	ydfD,dicB,dicF,ydfC,ydfB,ydfA
pagP	+	656526	657117	pagP
yjaH_1	+	4200511.0	4201261	yjaH
flxA	+	1646388	1646737	flxA
pdeL_1	+	332039	333459	pdeL
yeaR-yoaG	-	1879403	1879994	yeaR,yoaG
degQ	+	3380698	3382178	degQ
rihB	-	2254245	2255252	rihB
atpBEFHAGDC_1	-	3915508	3922134	atpC,atpD,atpG,atpA,atpH,atpF,atpE,atpB
bglG_1	-	3905636	3906697	bglG
insB7	+	4518721	4519224	insB7
narK_1	+	1277821	1279520	narS,narK
clpB_1	-	2731557	2734205	clpB
mglBAC_1	-	2236743	2240566	mglC,mglA,mglB
nanA	-	3372683	3373620	nanA
adhE_1	-	1295446	1298413	adhE
igaA	+	3526469	3528604	igaA
nfuA_1	+	3545596	3546199	nfuA
manXYZ	+	1901933	1904746	manX,manY,manZ
fhuACDB_1	+	167484	173444	fhuB,fhuD,fhuC,fhuA
gmhA	+	243543	244121	gmhA
fepA-entD_1	-	609459	612667.0	entD,fepA
dapB_1	+	28288	29272	dapB
nuoABCEFGHIJKLMN_1	-	2390005	2405335	nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA
fecIR	-	4516764	4518282	fecR,fecI
ratA-yfjF	-	2754008	2754764	ratA,yfjF
yhhT_1	+	3611841.0	3612914	yhhT
argD	-	3488960	3490221	argD
yghU	+	3138700	3139593	yghU
gapA_1	+	1862526	1863766	gapA
yjhA	-	4538785	4539501	nanC
ycbZ_1	-	1016539	1018460.0	ycbZ
citR-ybdNM	-	634747	637618	ybdM,ybdN,citR
yeaX	+	1885845	1886810	yeaX
iscRSUA	-	2659563	2662199	iscA,iscU,iscS,iscR
groSL_1	+	4370616	4372671	groL,groS
pdeG	+	1217328	1218851	pdeG
yidL	+	3860253	3861176	yidL
rrsG-gltW-rrlG-rrfG_1	-	2726069	2731448	rrfG,rrlG,gltW,rrsG
ymfK	-	1202259	1202933	ymfK
helD	+	1024438	1026525	helD
focA-pflB_1	-	951207	954503	pflB,focA
rhtB	-	4008439	4009059	rhtB
ompA_1	-	1019013	1020187	ompA
bglA	+	3043662	3045101	bglA
rpoH_1	-	3599887	3600870	rpoH
ygiD_1	-	3181619	3182429.0	ygiD
ygiD_2	-	3181619	3182561.0	ygiD
gnsA_1	+	1052004	1052240	gnsA
feaR_1	-	1446378	1447349	feaR
sraA	-	458728	458784	sraA
ybfP	+	715412	715906	ybfP
trkA	+	3436488	3437894	trkA
ybhD_1	-	799622	800620.0	ybhD
ybhD_2	-	799622	800709.0	ybhD
pykF_1	+	1755617	1757110	pykF
nei	+	745904	746726	nei
