TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction
nhaR	+	nhaAR	+
nhaR	+	nhaAR	+
exuT	+	exuT	+
mioC	-	asnC-mioC	-
mioC	-	asnC-mioC-mnmG	-
araBAD	-	polB	-
groSL	+	groSL	+
groSL	+	groL	+
groSL	+	groL	+
groSL	+	groL	+
argQ	-	serV-argVYZQ	-
hupB	+	hupB	+
hupB	+	hupB	+
hupB	+	hupB	+
rsmE-gshB1	+	rsmE-gshB2	+
rsmE-gshB1	+	endA	+
rsmE-gshB1	+	endA	+
rsmE-gshB2	+	endA	+
rsmE-gshB2	+	endA	+
pdeG	+	ymgF1	+
bssS	-	bssS	-
bssS	-	bssS	-
ygjI1	+	ygjI2	+
ygjI1	+	ebgAC	+
ygjI2	+	ebgAC	+
yghA1	+	yqhA1	-
yghA1	+	yqhA2	-
ydhC1	+	ydhC2	+
ydhC1	+	ydhC3	+
ydhC2	+	ydhC3	+
yeaM	-	yeaL	+
abrB	-	nei	+
abrB	-	ybgIJKL-nei	+
abrB	-	ybgIJKL-nei	+
treR	-	treR	-
treR	-	treR	-
treR	-	treR	-
dmsABC	+	dmsABC	+
dmsABC	+	dmsC	+
dmsABC	+	dmsABC	+
sroA	-	sgrR-sroA-thiBPQ	-
htpG	+	htpG	+
htpG	+	htpG	+
aroKB-damX-dam-rpe-gph-trpS	-	damX-dam-rpe-gph-trpS	-
aroKB-damX-dam-rpe-gph-trpS	-	dam-rpe-gph-trpS	-
aroKB-damX-dam-rpe-gph-trpS	-	rpe-gph-trpS	-
aroKB-damX-dam-rpe-gph-trpS	-	dam-rpe-gph-trpS	-
aroKB-damX-dam-rpe-gph-trpS	-	trpS	-
aroKB-damX-dam-rpe-gph-trpS	-	aroKB-damX-dam-rpe-gph-trpS	-
trkA	+	rsmB1	+
glnAZ	-	glnAZLG	-
glnAZ	-	glnLG	-
glnAZ	-	glnAZLG	-
glnAZ	-	glnLG	-
glnAZ	-	glnAZ	-
osmB	-	osmB	-
osmB	-	osmB	-
infB	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-
infB	-	rimP-nusA-infB	-
infB	-	metY-yhbC-nusA-infB	-
infB	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-
infB	-	nusA-infB	-
znuA	-	yebA1	-
znuA	-	yebA2	-
znuA	-	yebA3	-
znuA	-	znuCB	+
yfeR1	-	yfeH1	+
yfeR1	-	yfeH2	+
ytfH1	+	ytfH2	+
ftsAZ	+	ftsZ	+
ftsAZ	+	ftsZ	+
ftsAZ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsAZ	+	ftsQ	+
ftsAZ	+	ftsQAZ	+
ftsAZ	+	stfZ	-
ftsAZ	+	ftsQAZ	+
ftsAZ	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsAZ	+	ftsZ	+
ftsAZ	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
ftsAZ	+	stfZ	-
ftsAZ	+	stfZ	-
ftsAZ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+
cspG1	+	cspH1	-
cspG1	+	cspH5	-
cspG1	+	cspH7	-
gapA	+	gapA	+
gapA	+	gapA	+
gapA	+	gapA	+
gapA	+	gapA	+
gapA	+	gapA-yeaD	+
gapA	+	gapA	+
ybjS1	-	ybjQ-amiD	+
ybjS1	-	poxB-ltaE-ybjT1	-
ybjS1	-	poxB-ltaE-ybjT2	-
ybjS1	-	ltaE-ybjT	-
mhpABCDFE	+	mhpR-lacI	-
mhpABCDFE	+	mhpR-lacI	-
lptAB	+	kdsC-lptCAB	+
lptAB	+	kdsC-lptCAB	+
lptAB	+	kdsC-lptCAB	+
lptAB	+	lptB-rpoN-hpf-ptsN-yhbJ	+
lptAB	+	lptAB	+
lptAB	+	rpoN-hpf-ptsN-yhbJ-npr	+
lptAB	+	yrbG-kdsDC-lptCAB	+
oppA	+	oppABCDF	+
oppA	+	oppBCDF	+
thrS-infC-rpmI-rplT-pheMST-ihfA	-	rplT	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	rpmI-rplT	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	pheM	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	rplT-pheM	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	thrS-infC	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	pheMST-ihfA	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	infC-rpmI-rplT	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	ihfA	-
thrS-infC-rpmI-rplT-pheMST-ihfA	-	infC	-
cyaR	+	cyaR	+
cyaR	+	cyaR	+
mlc-ynfK	-	mlc	-
mlc-ynfK	-	mlc-ynfK	-
mlc-ynfK	-	ynfK1	-
mlc-ynfK	-	ynfK2	-
mlc-ynfK	-	clcB	+
ulaG	-	ulaR1	-
appY	+	appY	+
appY	+	appY	+
yjhA	-	nanCMS	-
yjhA	-	nanCM	-
pta	+	ackA-pta1	+
pta	+	ackA	+
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	-	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	-
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	-	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	-
uvrB	+	uvrB	+
uvrB	+	uvrB	+
yraM	+	yraN	+
araFGH	-	araFGH	-
araFGH	-	araFGH	-
yjaH1	+	hupA	+
aidB	+	aidB	+
ybjQ-amiD	+	ybjP	-
paoABCD	-	yagP	-
prfB-lysS	-	dsbC-recJ-prfB	-
