Name	Direction	TU_start	TU_end	Genes
C0293	+	1196711	1196782	C0293
CsiR	+	2795674	2796336	glaR
aaeR	+	3389496	3390449	aaeR
aaeXAB	-	3386221	3389430	aaeX,aaeA,aaeB
aas-lplT	-	2972669	2976014	aas,lplT
aat	-	926728	927460.0	aat
abgABT-ogt	-	1399721	1404565	abgA,abgB,abgT,ogt
abgR	+	1404741	1405693	abgR
abpAB	-	2761351	2765153	abpA,abpB
abrB	-	746723	747769	abrB
accA	+	208326	209580	accA
accBC	+	3405140	3407302	accB,accC
accD	-	2432963	2434015	accD
aceBAK	+	4215402	4220332	aceB,aceA,aceK
aceEF	+	122969	127619	aceF,aceE
aceK	+	4218566	4220332	aceK
ackA	+	2413459	2414672	ackA
ackA-pta	+	2413459.0	2416891	pta,ackA
acnA	+	1335424	1338506	ymiC,acnA
acnB	+	131519	134272	acnB
acpH	-	424337	424918	acpH
acpP	+	1151575	1151887	acpP
acpP-fabF	+	1151575	1153180	fabF,acpP
acpT	+	3612969	3613556	acpT
acrAB	-	481254	485698	acrA,acrB
acrB	-	481254	484685	acrB
acrD	+	2587475	2590708	acrD
acrEF	+	3413702	3418177	acrE,acrF
acrR	+	485699	486408	acrR
acrZ	+	794751	794922	acrZ
acs-yjcHG	-	4283253	4287595	actP,yjcH,acs
actP	-	4283253	4284935	actP
ada-alkB	-	2308691	2310427	alkB,ada
add	+	1702202	1703234	add
ade	+	3843910	3845730	adeD
adeQ	-	3842455	3843789	adeQ
adhE	-	1295446	1298413	adhE
adhP	-	1552828	1553994.0	adhP
adiA	-	4338210	4340556	adiA
adiC	-	4335694	4337202	adiC
adiY	-	4337168	4338042	adiY
adk	+	497139	497819	adk
adrA	+	403687	404818	dgcC
aegA	-	2583546	2585525	aegA
aer	-	3217556	3219120	aer
aes	-	498945	500051	aes
agaR	-	3277856	3278703	agaR
agaSYBCDI	+	3281889	3287025	agaI,agaD,agaC,agaB,kbaY,agaS
agp	+	1065559	1066857	agp
agrA	+	3648063	3648144	agrA
agrB	+	3648294	3648375	agrB
ahpCF	+	638693	641318	ahpF,ahpC
ahpF	+	639002	641318	ahpF
aidB	+	4414247	4415900	aidB
ais	-	2365018	2365756.0	ais
alaA	+	2407408	2408778	alaA
alaA-yfbR	+	2407414.0	2409461	yfbR,alaA
alaC	-	2497057	2498399	alaC
alaE	+	2799084	2799613	alaE
alaS	-	2819381	2822090	alaS
alaWX	-	2518002	2518253	alaX,alaW
aldA	+	1488190	1489671	aldA
aldB	-	3754906	3756535	aldB
alkA	-	2146692	2147559	alkA
alkB	-	2308691	2309445	alkB
allA	+	532390	532933	allA
allB	+	538944	540508	allB
allDC-ylbA	-	543261	546411	allE,allC,allD
allR	+	532981	533826	allR
allS	-	531295	532300	allS
alpA	+	2758644	2758856	alpA
alr	+	4265589	4266861	alr
alsBACE	-	4307783	4312072	alsE,alsC,alsA,alsB
alsK	-	4306870	4307995.0	alsK
alsRBACE	-	4307783	4313137	alsE,alsC,alsA,alsB,alsR
alx	+	3238371.0	3239545	alx
ameF	+	2911051	2911450	ameF
amiA-hemF	+	2552241	2554124	hemF,amiA
amiC	-	2947757	2949189.0	amiC
amn	+	2055031	2056515	amn
ampC	-	4377783	4379003	ampC
ampDE	+	118703	120135	ampD,ampE
ampG	-	452070	453684.0	ampG
ampH	-	395130	396363	ampH
amyA	+	2006115	2007674	amyA
anmK	-	1718493	1719673.0	anmK
ansA-pncA	+	1850860	1852528	pncA,ansA
ansB	-	3099654	3100790	ansB
ansP	-	1524481	1526020	ansP
apaGH	-	50380	52034	apaH,apaG
aphA	+	4269414	4270127	aphA
appA	+	1040599	1041915	appA
appCBA-yccB	+	1037710	1041915	appX,appC,appB,appA
appY	+	583567	584430	appY
apt	+	491310	491963	apt
aqpZ	-	915352	916133.0	aqpZ
araBAD	-	65800	70075	araD,araA,araB
araC	+	70223	71265	araC
araE	-	2980764	2982208	araE
araE-ygeA	-	2979943	2982208	ygeA,araE
araFGH	-	1982554	1986238	araH,araG,araF
araJ	-	411297	412529	araJ
arcA	-	4639539	4640801	arcA
arcB	-	3350689	3353049	arcB
arcZ	+	3350577	3350697	arcZ
arfA	-	3438431	3438673	arfA
argA	+	2949156	2950573	argA
argCBH	+	4154885	4158223	argC,argB,argH
argD	-	3488960	3490221	argD
argE	-	4153696	4155078	argE
argF	-	289301	290340	argF
argF-xynR	-	288404	290340.0	xynR,argF
argG	+	3318562	3319980	argG
argH	+	4156850	4158223	argH
argI	-	4477307	4478344	argI
argO	-	3068173	3068836	argO
argP	+	3059730	3060680	argP
argQ	-	2817784	2817890	argQ
argR	+	3384602	3385173	argR
argS	+	1960001	1961843	argS
argT-hisJQMP	-	2423736	2427849	hisP,hisM,hisQ,hisJ,argT
argU	+	564703	564799	argU
argW	+	2466308	2466383	argW
argX-hisR-leuT-proM	+	3982364	3982841	argX,hisR,leuT,proM
ariR	+	1216369	1216635	ariR
arnBCADTEF	+	2365910	2373278	arnF,arnE,arnT,arnD,arnA,arnC,arnB
aroD	+	1774571	1775444	aroD
aroF-tyrA	-	2738912	2741201	tyrA,aroF
aroG	+	785591	786821	aroG
aroH	+	1788318	1789510	aroH
aroKB-damX-dam-rpe-gph-trpS	-	3512634	3519380	trpS,gph,rpe,dam,damX,aroB,aroK
aroL-yaiA-aroM	+	406280	408105	aroL,yaiA,aroM
aroM	+	407400	408105	aroM
aroP	-	120144	121671	aroP
arpA	-	4220301	4222691.0	arpA
arpB	+	1803094	1804993	arpB
arrS	-	3657985	3658054	arrS
arsRBC	+	3648512	3650662	arsR,arsB,arsC
artJ	-	899648	900626	artJ
artPIQM	-	900695	903843	artM,artQ,artI,artP
ascB	+	2840942	2842414	ascB
ascFB	+	2839429	2842414	ascF,ascB
ascG	-	2838254	2839287.0	ascG
asd	-	3573775	3574878	asd
asflhD	+	1978176	1978395	asflhD
aslA	-	3984352	3986007	aslA
aslB	+	3982781	3984193	aslB
asmA	-	2139759	2141612	asmA
asnA	+	3927129	3928147	asnA
asnB	-	697513	699222	asnB
asnC	-	3926545	3927031	asnC
asnC-mioC	-	3926012	3927031	mioC,asnC
asnC-mioC-mnmG	-	3923705	3927031	mnmG,mioC,asnC
asnS	-	987392	989044	asnS
asnT	+	2044541	2044750	asnT
asnU	+	2059845	2059966	asnU
asnV	+	2062252	2062335	asnV
asnW	-	2057926	2058102	asnW
aspA	-	4366844	4368432	aspA
aspA-dcuA	-	4365472	4368432	dcuA,aspA
aspC	-	984519	985743	aspC
aspS	-	1948662	1950701	aspS
aspT	+	3946780.0	3946948	aspT
aspU	+	228898	229052	aspU
aspV	+	236913	237067	aspV
aspX	-	4366839	4366951	aspX
asr	+	1671327	1671720	asr
astCADBE	-	1825955	1832044	astE,astB,astD,astA,astC
atoDAEB	+	2323412	2327293	atoB,atoD,atoA,atoE
atoSC	+	2320043	2323251	atoC,atoS
atpBEFHAGDC	-	3915508	3922270	atpC,atpD,atpG,atpA,atpH,atpF,atpE,atpB
atpIBEFHAGDC	-	3915508	3922525	atpC,atpD,atpG,atpA,atpH,atpF,atpE,atpB,atpI
avtA	+	3739674	3740958	avtA
azoR	-	1482255	1482904	azoR
azuCR	-	1987843	1988001	azuR,azuC
bacA	-	3203310	3204175	bacA
baeSR	+	2162876	2164998	baeS,baeR
bamA	+	197821	200360	bamA
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+	197026	208608	dnaE,rnhB,lpxB,lpxA,fabZ,lpxD,skp,bamA
bamB-der	-	2635884	2638975	der,bamB
bamC	-	2597803	2599014	bamC
bamD	+	2735961	2736883	bamD
bamE	+	2753486	2753946	bamE
barA	+	2915057	2917813	barA
basRS	-	4332181	4333950	basS,basR
bax	-	3736353	3737221.0	bax
bcp	+	2600437	2600948	bcp
bcr	-	2278570	2279760	bcr
bcsABZC	-	3685700	3695236	bcsC,bcsZ,bcsB,bcsA
bcsBZ	-	3689155	3692673	bcsZ,bcsB
bcsEFG	+	3696443	3699893	bcsG,bcsF,bcsE
bcsQ	-	3695233	3695985	bcsQ
bdcA	-	4473340	4474064	bdcA
bdcR	+	4474096.0	4474717	bdcR
bdm-sra	-	1555826	1556340	sra,bdm
bepA-yfgD	+	2616026	2617937	yfgD,bepA
betIBA	-	325577	329361	betA,betB,betI
betT	+	329421	331496	betT
bfd-bfr	-	3466249	3466991	bfd,bfr
bglA	+	3043662	3045101	bglA
bglG	-	3905636	3906717	bglG
bglGFB	-	3902249	3906697	bglB,bglF,bglG
bglH-yieLK	-	3898671	3902220	bglH,yieL,yieK
bglX	-	2219660	2222120	bglX
bhsA	+	1169019	1169330	bhsA
bioA	-	807968	809292	bioA
bioBFCD	+	809302	812947	bioB,bioF,bioC,bioD
bioH	-	3544074	3544858	bioH
bioP	+	4011076	4011975	bioP
bipA	+	4058407	4060230	bipA
bisC	-	3714061	3716484.0	bisC
blc	-	4377189	4377745	blc
blr	+	1704512	1704676	blr
bluF	-	1214264	1215506	bluF
bluR	-	1213328	1214113	bluR
bolA	+	454349	454865	bolA
borD	-	578600	578921	borD
brnQ-proY	+	419488	422359	proY,brnQ
bsmA	-	4416441	4416869	bsmA
bssR	+	878246.0	878631	bssR
bssS	-	1120701	1121058	bssS
btsSR	-	2212243	2214644	btsS,btsR
btsT	-	4589129	4591367	btsT
btuB-murI	+	4163399	4166285	murI,btuB
btuCED	-	1792809	1795152	btuD,btuE,btuC
btuD	-	1792809	1793583	btuD
btuE	-	1793558	1794129	btuE
cadA	-	4356470	4358647	cadA
cadBA	-	4356470	4360106	cadA,cadB
cadC	-	4360396	4361963	cadC
caiCDE	-	34781	37854	caiE,caiD,caiC
caiF	+	34218	34695	caiF
caiTABCDE	-	34781	42037	caiE,caiD,caiC,caiB,caiA,caiT
can	-	142008	142703	can
carAB	+	29551	34120	carA,carB
carB	+	30775	34038	carB
cas3	-	2884553	2887249	cas3
casABCDE12	-	2878569	2884319	casA,casB,casC,casD,casE,cas1,cas2
casDE-ygbTF	-	2878569	2881078	cas2,cas1,casE,casD
cbl	-	2059964	2060941	cbl
cbpA-cbpM	-	1062550	1064037	cbpM,cbpA
cbpAM	-	1062550	1063833	cbpM,cbpA
cbrA	+	3869314.0	3870441	cbrA
cbrB	+	3897479.0	3897973	cbrB
cbrBC	+	3897506	3898609	cbrC,cbrB
cbrC	+	3898022	3898609	cbrC
ccmABCDEFGH	-	2291358	2297674	ccmH,ccmG,ccmF,ccmE,ccmD,ccmC,ccmB,ccmA
cdaR	+	182447	183620	cdaR
cdd	+	2231819	2232728	cdd
cdgI	+	1870385	1871860	cdgI
cdh	+	4109907	4110730	cdh
cdsA	+	195555.0	196534	cdsA
