Name	Direction	TU_start	TU_end	Genes
C0293	+	1196711.0	1196782.0	C0293
CsiR	+	2795674.0	2796336.0	glaR
aaeR	+	3389496.0	3390449.0	aaeR
aaeXAB	-	3386221.0	3389430.0	aaeX,aaeA,aaeB
aas-lplT	-	2972669.0	2976014.0	aas,lplT
aat	-	926728.0	927460.0	aat
abgABT-ogt	-	1399721.0	1404565.0	abgA,abgB,abgT,ogt
abgR	+	1404741.0	1405693.0	abgR
abpAB	-	2761351.0	2765153.0	abpA,abpB
abrB	-	746723.0	747769.0	abrB
accA	+	208326.0	209580.0	accA
accBC	+	3405140.0	3407302.0	accB,accC
accD	-	2432963.0	2434015.0	accD
aceBAK	+	4215402.0	4220332.0	aceB,aceA,aceK,aceK-int
aceEF	+	122969.0	127619.0	aceF,aceE
aceK	+	4218566.0	4220332.0	aceK,aceK-int
ackA	+	2413459.0	2414672.0	ackA
ackA-pta	+	2413459.0	2416891.0	pta,ackA
acnA	+	1335424.0	1338506.0	ymiC,acnA
acnB	+	131519.0	134272.0	acnB
acpH	-	424337.0	424918.0	acpH
acpP	+	1151575.0	1151887.0	acpP
acpP-fabF	+	1151575.0	1153180.0	fabF,acpP
acpT	+	3612969.0	3613556.0	acpT
acrAB	-	481254.0	485698.0	acrA,acrB
acrB	-	481254.0	484685.0	acrB
acrD	+	2587475.0	2590708.0	acrD
acrEF	+	3413702.0	3418177.0	acrE,acrF
acrR	+	485699.0	486408.0	acrR
acrZ	+	794751.0	794922.0	acrZ
acs-yjcHG	-	4283253.0	4287595.0	actP,yjcH,acs
actP	-	4283253.0	4284935.0	actP
ada-alkB	-	2308691.0	2310427.0	alkB,ada
add	+	1702202.0	1703234.0	add
ade	+	3843910.0	3845730.0	adeD
adeQ	-	3842455.0	3843789.0	adeQ
adhE	-	1295446.0	1298413.0	adhE
adhP	-	1552828.0	1553994.0	adhP
adiA	-	4338210.0	4340556.0	adiA
adiC	-	4335694.0	4337202.0	adiC
adiY	-	4337168.0	4338042.0	adiY
adk	+	497139.0	497819.0	adk
adrA	+	403687.0	404818.0	dgcC
aegA	-	2583546.0	2585525.0	aegA
aer	-	3217556.0	3219120.0	aer
aes	-	498945.0	500051.0	aes
agaR	-	3277856.0	3278703.0	agaR
agaSYBCDI	+	3281889.0	3287025.0	agaI,agaD,agaC,agaB,kbaY,agaS
agp	+	1065559.0	1066857.0	agp
agrA	+	3648063.0	3648144.0	agrA
agrB	+	3648294.0	3648375.0	agrB
ahpCF	+	638693.0	641318.0	ahpF,ahpC
ahpF	+	639002.0	641318.0	ahpF
aidB	+	4414247.0	4415900.0	aidB
ais	-	2365018.0	2365756.0	ais
alaA	+	2407408.0	2408778.0	alaA
alaA-yfbR	+	2407414.0	2409461.0	yfbR,alaA
alaC	-	2497057.0	2498399.0	alaC
alaE	+	2799084.0	2799613.0	alaE
alaS	-	2819381.0	2822090.0	alaS
alaWX	-	2518002.0	2518253.0	alaX,alaW
aldA	+	1488190.0	1489671.0	aldA
aldB	-	3754906.0	3756535.0	aldB
alkA	-	2146692.0	2147559.0	alkA
alkB	-	2308691.0	2309445.0	alkB
allA	+	532390.0	532933.0	allA
allB	+	538944.0	540508.0	allB
allDC-ylbA	-	543261.0	546411.0	allE,allC,allD
allR	+	532981.0	533826.0	allR
allS	-	531295.0	532300.0	allS
alpA	+	2758644.0	2758856.0	alpA
alr	+	4265589.0	4266861.0	alr
alsBACE	-	4307783.0	4312072.0	alsE,alsC,alsA,alsB
alsK	-	4306870.0	4307995.0	alsK
alsRBACE	-	4307783.0	4313137.0	alsE,alsC,alsA,alsB,alsR
alx	+	3238371.0	3239545.0	alx,sraF
ameF	+	2911051.0	2911450.0	ameF
amiA-hemF	+	2552241.0	2554124.0	hemF,amiA
amiC	-	2947757.0	2949189.0	amiC
amn	+	2055031.0	2056515.0	amn
ampC	-	4377783.0	4379003.0	ampC
ampDE	+	118703.0	120135.0	ampD,ampE
ampG	-	452070.0	453684.0	ampG
ampH	-	395130.0	396363.0	ampH
amyA	+	2006115.0	2007674.0	amyA
anmK	-	1718493.0	1719673.0	anmK
ansA-pncA	+	1850860.0	1852528.0	pncA,ansA
ansB	-	3099654.0	3100790.0	ansB
ansP	-	1524481.0	1526020.0	ansP
apaGH	-	50380.0	52034.0	apaH,apaG
aphA	+	4269414.0	4270127.0	aphA
appA	+	1040599.0	1041915.0	appA
appCBA-yccB	+	1037710.0	1041915.0	appX,appC,appB,appA
appY	+	583567.0	584430.0	appY
apt	+	491310.0	491963.0	apt
aqpZ	-	915352.0	916133.0	aqpZ
araBAD	-	65800.0	70075.0	araD,araA,araB
araC	+	70223.0	71265.0	araC
araE	-	2980764.0	2982208.0	araE
araE-ygeA	-	2979943.0	2982208.0	ygeA,araE
araFGH	-	1982554.0	1986238.0	araH,araG,araF
araJ	-	411297.0	412529.0	araJ
arcA	-	4639539.0	4640801.0	arcA
arcB	-	3350689.0	3353049.0	arcB
arcZ	+	3350577.0	3350697.0	arcZ
arfA	-	3438431.0	3438673.0	arfA,yrdG
argA	+	2949156.0	2950573.0	argA
argCBH	+	4154885.0	4158223.0	argC,argB,argH
argD	-	3488960.0	3490221.0	argD,yrfJ
argE	-	4153696.0	4155078.0	argE
argF	-	289301.0	290340.0	argF
argF-xynR	-	288404.0	290340.0	xynR,argF
argG	+	3318562.0	3319980.0	argG
argH	+	4156850.0	4158223.0	argH
argI	-	4477307.0	4478344.0	argI
argO	-	3068173.0	3068836.0	argO
argP	+	3059730.0	3060680.0	argP
argQ	-	2817784.0	2817890.0	argQ
argR	+	3384602.0	3385173.0	argR
argS	+	1960001.0	1961843.0	argS
argT-hisJQMP	-	2423736.0	2427849.0	hisP,hisM,hisQ,hisJ,argT
argU	+	564703.0	564799.0	argU
argW	+	2466308.0	2466383.0	argW
argX-hisR-leuT-proM	+	3982364.0	3982841.0	argX,hisR,leuT,proM
ariR	+	1216369.0	1216635.0	ariR
arnBCADTEF	+	2365910.0	2373278.0	arnF,arnE,arnT,arnD,arnA,arnC,arnB
aroD	+	1774571.0	1775444.0	aroD
aroF-tyrA	-	2738912.0	2741201.0	tyrA,aroF
aroG	+	785591.0	786821.0	aroG
aroH	+	1788318.0	1789510.0	aroH
aroKB-damX-dam-rpe-gph-trpS	-	3512634.0	3519380.0	trpS,gph,rpe,dam,damX,aroB,aroK
aroL-yaiA-aroM	+	406280.0	408105.0	aroL,yaiA,aroM
aroM	+	407400.0	408105.0	aroM
aroP	-	120144.0	121671.0	aroP
arpA	-	4220301.0	4222691.0	arpA
arpB	+	1803094.0	1804993.0	arpB
arrS	-	3657985.0	3658054.0	arrS
arsRBC	+	3648512.0	3650662.0	arsR,arsB,arsC
artJ	-	899648.0	900626.0	artJ
artPIQM	-	900695.0	903843.0	artM,artQ,artI,artP
ascB	+	2840942.0	2842414.0	ascB
ascFB	+	2839429.0	2842414.0	ascF,ascB
ascG	-	2838254.0	2839287.0	ascG
asd	-	3573775.0	3574878.0	asd
asflhD	+	1978176.0	1978395.0	asflhD
aslA	-	3984352.0	3986007.0	aslA
aslB	+	3982781.0	3984193.0	aslB
asmA	-	2139759.0	2141612.0	asmA
asnA	+	3927129.0	3928147.0	asnA
asnB	-	697513.0	699222.0	asnB
