Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter
ypfH	[ypfH 2,593,072 &larr; 2,593,770]	-		
nhaR	[nhaR 18,715 &rarr; 19,620]	+		
yagU	[yagU 302,991 &rarr; 303,605]	+		
exuT	[exuT 3,244,962 &rarr; 3,246,522]	+	exuTp2	[exuTp2 3,245,002]
mioC	[mioC 3,926,012 &larr; 3,926,475]	-	mioCp	[mioCp 3,926,475]
araBAD	[araBAD 65,800 &larr; 70,075]	-	araBp	[araBp 70,075]
yifL-dapF-yigA-xerC-yigB	[yifL-dapF-yigA-xerC-yigB 3,994,492 &rarr; 3,997,899]	+	yifLp	[yifLp 3,994,492]
yajR	[yajR 445,302 &larr; 446,687]	-	yajRp	[yajRp 446,687]
groSL	[groSL 4,370,616 &rarr; 4,372,671]	+	groSp2	[groSp2 4,370,616]
argQ	[argQ 2,817,784 &larr; 2,817,890]	-	argQp	[argQp NIL &larr; NIL]
hupB	[hupB 461,305 &rarr; 461,778]	+	hupBp4	[hupBp4 461,305]
ssuEADCB	[ssuEADCB 993,277 &larr; 997,563]	-	ssuEp	[ssuEp 997,563]
fdrA-ylbEF-ybcF	[fdrA-ylbEF-ybcF 546,680 &rarr; 551,332]	+		
rsmE-gshB	[rsmE-gshB 3,091,134 &rarr; 3,092,828]	+		
pdeG	[pdeG 1,217,328 &rarr; 1,218,851]	+		
bssS	[bssS 1,120,701 &larr; 1,121,058]	-	bssSp1	[bssSp1 1,121,058]
ygjI	[ygjI 3,226,234 &rarr; 3,227,667]	+		
yghA	[yghA 3,149,662 &rarr; 3,150,546]	+		
mipA	[mipA 1,865,726 &larr; 1,866,506]	-	mipAp	[mipAp 1,866,506]
yfjD	[yfjD 2,748,774 &rarr; 2,750,060]	+		
yiaF	[yiaF 3,718,334 &larr; 3,719,097]	-	yiaFp	[yiaFp 3,719,097]
ygeR	[ygeR 2,999,136 &larr; 2,999,891]	-		
ydhC	[ydhC 1,739,911 &rarr; 1,741,122]	+		
yeaM	[yeaM 1,874,755 &larr; 1,875,600]	-	nimRp	[nimRp 1,875,600]
yqjG	[yqjG 3,251,024 &rarr; 3,252,010]	+		
abrB	[abrB 746,723 &larr; 747,769]	-		
ybaA	[ybaA 476,672 &rarr; 477,025]	+		
treR	[treR 4,466,284 &larr; 4,467,279]	-	treRp3	[treRp3 4,467,279]
yjfY	[yjfY 4,424,516 &larr; 4,424,791]	-		
asnA	[asnA 3,927,019 &rarr; 3,928,147]	+	asnAp	[asnAp 3,927,129]
dmsABC	[dmsABC 940,856 &rarr; 944,896]	+	dmsAp2	[dmsAp2 940,878]
sroA	[sroA 75,516 &larr; 75,608]	-	sroAp	[sroAp 75,608]
htpG	[htpG 495,084 &rarr; 497,029]	+	htpGp2	[htpGp2 495,084]
ytfE	[ytfE 4,431,321 &larr; 4,432,009]	-	ytfEp	[ytfEp 4,432,009]
aroKB-damX-dam-rpe-gph-trpS	[aroKB-damX-dam-rpe-gph-trpS 3,512,634 &larr; 3,519,380]	-	aroKp1	[aroKp1 3,519,380]
insG	[insG 4,502,103 &larr; 4,503,431]	-		
trkA	[trkA 3,436,488 &rarr; 3,437,894]	+	trkAp	[trkAp NIL &rarr; NIL]
glnAZ	[glnAZ 4,055,990 &larr; 4,058,222]	-	glnAp1	[glnAp1 4,058,222]
osmB	[osmB 1,343,110 &larr; 1,343,476]	-	osmBp1	[osmBp1 1,343,476]
infB	[infB 3,313,185 &larr; 3,316,027]	-	infBp	[infBp 3,316,027]
dsrA	[dsrA 2,025,223 &larr; 2,025,313]	-	dsrAp	[dsrAp 2,025,313]
yfcF	[yfcF 2,419,841 &larr; 2,420,485]	-		
znuA	[znuA 1,941,651 &larr; 1,942,661]	-	znuAp	[znuAp 1,942,661]
yfeR	[yfeR 2,525,930 &larr; 2,526,856]	-		
