Name	Direction	TU_start	TU_end	Genes
ftsZ_1	+	104636.0	106456.0	ftsZ
yddAB	-	1575247.0	1579342.0	yddA,yddB
yqeIJ	+	2988502.0	2989786.0	yqeJ,yqeI
ydfV	+	1645897.0	1646202.0	ydfV
mipA	-	1865726.0	1866506.0	mipA
yfbM	+	2386934.0	2387437.0	yfbM
ftsZ_2	+	104693.0	106456.0	ftsZ
rpmH-rnpA_1	+	3884111.0	3884852.0	rpmH,rnpA
ydhP	-	1736121.0	1737290.0	ydhP
argQ	-	2817784.0	2817890.0	argQ
ydfABC-dicFB-ydfD	+	1648508.0	1649985.0	ydfD,dicB,dicF,ydfC,ydfB,ydfA
pagP	+	656526.0	657117.0	pagP
yjaH_1	+	4200511.0	4201261.0	yjaH
flxA	+	1646388.0	1646737.0	flxA
pdeL_1	+	332039.0	333459.0	pdeL
yeaR-yoaG	-	1879403.0	1879994.0	yeaR,yoaG
degQ	+	3380698.0	3382178.0	degQ
rihB	-	2254245.0	2255252.0	rihB
atpBEFHAGDC_1	-	3915508.0	3922134.0	atpC,atpD,atpG,atpA,atpH,atpF,atpE,atpB
bglG_1	-	3905636.0	3906697.0	bglG
insB7	+	4518721.0	4519224.0	insB7
narK_1	+	1277821.0	1279520.0	narS,narK
clpB_1	-	2731557.0	2734205.0	clpB
mglBAC_1	-	2236743.0	2240566.0	mglC,mglA,mglB
nanA	-	3372683.0	3373620.0	nanA
adhE_1	-	1295446.0	1298413.0	adhE
igaA	+	3526469.0	3528604.0	igaA
nfuA_1	+	3545596.0	3546199.0	nfuA
manXYZ	+	1901933.0	1904746.0	manX,manY,manZ
fhuACDB_1	+	167484.0	173444.0	fhuB,fhuD,fhuC,fhuA
gmhA	+	243543.0	244121.0	gmhA
fepA-entD_1	-	609459.0	612667.0	entD,fepA
dapB_1	+	28288.0	29272.0	dapB
nuoABCEFGHIJKLMN_1	-	2390005.0	2405335.0	nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA
fecIR	-	4516764.0	4518282.0	fecR,fecI
ratA-yfjF	-	2754008.0	2754764.0	ratA,yfjF
yhhT_1	+	3611841.0	3612914.0	yhhT
argD	-	3488960.0	3490221.0	argD,yrfJ
yghU	+	3138700.0	3139593.0	yghU
gapA_1	+	1862526.0	1863766.0	gapA
yjhA	-	4538785.0	4539501.0	nanC
ycbZ_1	-	1016539.0	1018460.0	ycbZ
citR-ybdNM	-	634747.0	637618.0	ybdM,ybdN,citR
yeaX	+	1885845.0	1886810.0	yeaX
iscRSUA	-	2659563.0	2662199.0	iscA,iscU,iscS,iscR
groSL_1	+	4370616.0	4372671.0	groL,groS
pdeG	+	1217328.0	1218851.0	pdeG
yidL	+	3860253.0	3861176.0	yidL
rrsG-gltW-rrlG-rrfG_1	-	2726069.0	2731448.0	rrfG,rrlG,gltW,rrsG
ymfK	-	1202259.0	1202933.0	ymfK
helD	+	1024438.0	1026525.0	helD
focA-pflB_1	-	951207.0	954503.0	pflB,focA
rhtB	-	4008439.0	4009059.0	rhtB
ompA_1	-	1019013.0	1020187.0	ompA
bglA	+	3043662.0	3045101.0	bglA
rpoH_1	-	3599887.0	3600870.0	rpoH
ygiD_1	-	3181619.0	3182429.0	ygiD
ygiD_2	-	3181619.0	3182561.0	ygiD
gnsA_1	+	1052004.0	1052240.0	gnsA
feaR_1	-	1446378.0	1447349.0	feaR
sraA	-	458728.0	458784.0	sraA
ybfP	+	715412.0	715906.0	ybfP
trkA	+	3436488.0	3437894.0	trkA
ybhD_1	-	799622.0	800620.0	ybhD
ybhD_2	-	799622.0	800709.0	ybhD
pykF_1	+	1755617.0	1757110.0	pykF
nei	+	745904.0	746726.0	nei
yhcN_1	+	3385481.0	3385801.0	yhcN
yhcN_2	+	3385406.0	3385801.0	yhcN
nuoMN	-	2390005.0	2393071.0	nuoN,nuoM
exbD	-	3150552.0	3151390.0	exbD
yagML	-	293220.0	294799.0	yagM,yagL
yneK_1	+	1615731.0	1616878.0	yneK
yneK_2	+	1615550.0	1616878.0	yneK
yliI	+	878742.0	879857.0	yliI
ydgH_1	+	1678377.0	1679371.0	ydgH
