Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter	Genes of transcription unit
ftsZ	[ftsZ 104,636 &rarr; 106,456]	+	ftsZp4	[ftsZp4 104,636]	ftsZ
yddAB	[yddAB 1,575,247 &larr; 1,579,342]	-			yddA // yddB
yqeIJ	[yqeIJ 2,988,502 &rarr; 2,989,786]	+			yqeJ // yqeI
ydfV	[ydfV 1,645,897 &rarr; 1,646,202]	+			ydfV
mipA	[mipA 1,865,726 &larr; 1,866,506]	-	mipAp	[mipAp 1,866,506]	mipA
yfbM	[yfbM 2,386,934 &rarr; 2,387,437]	+			yfbM
ftsZ	[ftsZ 104,693 &rarr; 106,456]	+	ftsZp3	[ftsZp3 104,693]	ftsZ
rpmH-rnpA	[rpmH-rnpA 3,884,111 &rarr; 3,884,852]	+	rpmHp1	[rpmHp1 3,884,111]	rpmH // rnpA
ydhP	[ydhP 1,736,121 &larr; 1,737,290]	-			ydhP
argQ	[argQ 2,817,784 &larr; 2,817,890]	-	argQp	[argQp NIL &larr; NIL]	argQ
ydfABC-dicFB-ydfD	[ydfABC-dicFB-ydfD 1,648,508 &rarr; 1,649,985]	+			ydfD // dicB // dicF // ydfC // ydfB // ydfA
pagP	[pagP 656,494 &rarr; 657,117]	+	pagPp	[pagPp 656,526]	pagP
yjaH	[yjaH 4,200,566 &rarr; 4,201,261]	+			yjaH
flxA	[flxA 1,646,388 &rarr; 1,646,737]	+	flxAp	[flxAp 1,646,388]	flxA
pdeL	[pdeL 331,879 &rarr; 333,459]	+	pdeLp1	[pdeLp1 332,039]	pdeL
yeaR-yoaG	[yeaR-yoaG 1,879,403 &larr; 1,879,994]	-	yeaRp	[yeaRp 1,879,994]	yeaR // yoaG
degQ	[degQ 3,380,698 &rarr; 3,382,178]	+	degQp	[degQp 3,380,698]	degQ
rihB	[rihB 2,254,245 &larr; 2,255,252]	-	rihBp	[rihBp 2,255,252]	rihB
atpBEFHAGDC	[atpBEFHAGDC 3,915,508 &larr; 3,922,134]	-	atpBp2	[atpBp2 3,922,134]	atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB
bglG	[bglG 3,905,636 &larr; 3,906,697]	-	bglGp1	[bglGp1 3,906,697]	bglG
insB7	[insB7 4,518,721 &rarr; 4,519,224]	+			insB7
narK	[narK 1,277,821 &rarr; 1,279,520]	+	narKp2	[narKp2 1,277,821]	narS // narK
clpB	[clpB 2,731,557 &larr; 2,734,205]	-	clpBp	[clpBp 2,734,205]	clpB
mglBAC	[mglBAC 2,236,743 &larr; 2,240,566]	-	mglBp	[mglBp 2,240,566]	mglC // mglA // mglB
nanA	[nanA 3,372,683 &larr; 3,373,620]	-	nanAp	[nanAp 3,373,620]	nanA
adhE	[adhE 1,295,446 &larr; 1,298,413]	-	adhEp1	[adhEp1 1,298,413]	adhE
igaA	[igaA 3,526,469 &rarr; 3,528,604]	+			igaA
nfuA	[nfuA 3,545,596 &rarr; 3,546,199]	+	nfuAp1	[nfuAp1 3,545,596]	nfuA
manXYZ	[manXYZ 1,901,840 &rarr; 1,904,746]	+	manXp	[manXp 1,901,933]	manX // manY // manZ
fhuACDB	[fhuACDB 167,484 &rarr; 173,444]	+			fhuB // fhuD // fhuC // fhuA
gmhA	[gmhA 243,543 &rarr; 244,121]	+			gmhA
fepA-entD	[fepA-entD 609,459 &larr; 612,494]	-			entD // fepA
dapB	[dapB 28,288 &rarr; 29,272]	+	dapBp2	[dapBp2 28,288]	dapB
